File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Read length	Run type	Library fragmentation method	Library size range	Biosample Age	Biological replicate	Technical replicate	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF001PUU	fastq	reads	ENCSR000CNO	DNase-seq	UBERON:0000926	mesoderm	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	1686217084	John Stamatoyannopoulos, UW	6d5682b9bf03420f20f654c410323dff	https://www.encodeproject.org/files/ENCFF001PUU/@@download/ENCFF001PUU.fastq.gz	mm9	
ENCFF001PFD	fastq	reads	ENCSR000CMO	DNase-seq	UBERON:0002037	cerebellum	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	3	1	802176333	John Stamatoyannopoulos, UW	5a17ef32da871191e6cdf30d472ed17e	https://www.encodeproject.org/files/ENCFF001PFD/@@download/ENCFF001PFD.fastq.gz		
ENCFF001PFN	fastq	reads	ENCSR000CMO	DNase-seq	UBERON:0002037	cerebellum	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	2	1	899214565	John Stamatoyannopoulos, UW	467ed5c3b2bdd59ab051a77bb99a4c67	https://www.encodeproject.org/files/ENCFF001PFN/@@download/ENCFF001PFN.fastq.gz		
ENCFF001PFQ	fastq	reads	ENCSR000CMO	DNase-seq	UBERON:0002037	cerebellum	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	1	1	1069020089	John Stamatoyannopoulos, UW	f475cd84a59aaf1d9f731890e4412717	https://www.encodeproject.org/files/ENCFF001PFQ/@@download/ENCFF001PFQ.fastq.gz		
ENCFF001PFF	fastq	reads	ENCSR000CMO	DNase-seq	UBERON:0002037	cerebellum	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	3	1	571330295	John Stamatoyannopoulos, UW	35512cc787fe46dc183deaa8bba43a30	https://www.encodeproject.org/files/ENCFF001PFF/@@download/ENCFF001PFF.fastq.gz	mm9	
ENCFF001PFE	fastq	reads	ENCSR000CMO	DNase-seq	UBERON:0002037	cerebellum	tissue	adult	male	Mus musculus						DNA		see document	see document		2011-07-01	ENCODE			single-ended	see document		8 week	3	1	608186457	John Stamatoyannopoulos, UW	b97e177a5cf48fa633e642da51c6d6e4	https://www.encodeproject.org/files/ENCFF001PFE/@@download/ENCFF001PFE.fastq.gz	mm9	
ENCFF001PMP	fastq	reads	ENCSR000CNF	DNase-seq	UBERON:0005418	hindlimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	142108331	John Stamatoyannopoulos, UW	ca475022df39209bb1160adc8810e0ef	https://www.encodeproject.org/files/ENCFF001PMP/@@download/ENCFF001PMP.fastq.gz		
ENCFF001PNR	fastq	reads	ENCSR000CNF	DNase-seq	UBERON:0005418	hindlimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	1	1	1546868730	John Stamatoyannopoulos, UW	6d6dcbef26dabd965a6bece893a7ca1c	https://www.encodeproject.org/files/ENCFF001PNR/@@download/ENCFF001PNR.fastq.gz		
ENCFF001PMQ	fastq	reads	ENCSR000CNF	DNase-seq	UBERON:0005418	hindlimb bud	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-03-29	ENCODE			single-ended	see document		11.5 day	2	1	2104596165	John Stamatoyannopoulos, UW	983f09190c8e63cf41aa16e59b339f87	https://www.encodeproject.org/files/ENCFF001PMQ/@@download/ENCFF001PMQ.fastq.gz	mm9	
ENCFF001ORJ	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	498147285	John Stamatoyannopoulos, UW	9d19cb28318dc4ebf54bb5f702d11520	https://www.encodeproject.org/files/ENCFF001ORJ/@@download/ENCFF001ORJ.fastq.gz		
ENCFF001ORK	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	827567867	John Stamatoyannopoulos, UW	67658bd0ba76d3c57658cd28ed08eca1	https://www.encodeproject.org/files/ENCFF001ORK/@@download/ENCFF001ORK.fastq.gz		HiSeq 2000
ENCFF001QAB	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	498147285	John Stamatoyannopoulos, UW	d098432af6b82fa24b7e732817f2efac	https://www.encodeproject.org/files/ENCFF001QAB/@@download/ENCFF001QAB.fastq.gz		
ENCFF001QAC	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	827567867	John Stamatoyannopoulos, UW	078b5642dfddb16b3709bf0cb74c2c36	https://www.encodeproject.org/files/ENCFF001QAC/@@download/ENCFF001QAC.fastq.gz		HiSeq 2000
ENCFF001QAD	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	662319793	John Stamatoyannopoulos, UW	b5cd093ccc5292f177c0c93865728e19	https://www.encodeproject.org/files/ENCFF001QAD/@@download/ENCFF001QAD.fastq.gz		
ENCFF001ORQ	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	620456919	John Stamatoyannopoulos, UW	ab58aaf9af25e5fe156957ebf195f37c	https://www.encodeproject.org/files/ENCFF001ORQ/@@download/ENCFF001ORQ.fastq.gz	mm9	HiSeq 2000
ENCFF001ORT	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	617327680	John Stamatoyannopoulos, UW	fe59e41461ac2462ec46247365a0e0ff	https://www.encodeproject.org/files/ENCFF001ORT/@@download/ENCFF001ORT.fastq.gz	mm9	HiSeq 2000
ENCFF001ORP	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	615986800	John Stamatoyannopoulos, UW	7094defb55c11598e2f102259fa04dce	https://www.encodeproject.org/files/ENCFF001ORP/@@download/ENCFF001ORP.fastq.gz	mm9	HiSeq 2000
ENCFF001OSH	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	622105022	John Stamatoyannopoulos, UW	7e3509691907a1bd29e7ddfbcc77f7e4	https://www.encodeproject.org/files/ENCFF001OSH/@@download/ENCFF001OSH.fastq.gz	mm9	HiSeq 2000
ENCFF001ORL	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	619690649	John Stamatoyannopoulos, UW	851eb161be6d46a46f944d77495ad696	https://www.encodeproject.org/files/ENCFF001ORL/@@download/ENCFF001ORL.fastq.gz	mm9	HiSeq 2000
ENCFF001ORR	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	616162730	John Stamatoyannopoulos, UW	1b1a1412127d1e47ba9ac463d3028d94	https://www.encodeproject.org/files/ENCFF001ORR/@@download/ENCFF001ORR.fastq.gz	mm9	HiSeq 2000
ENCFF001ORV	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	620838241	John Stamatoyannopoulos, UW	65b28a3a7848bbc8f8799c0e7be8abd6	https://www.encodeproject.org/files/ENCFF001ORV/@@download/ENCFF001ORV.fastq.gz	mm9	HiSeq 2000
ENCFF001ORW	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	626761359	John Stamatoyannopoulos, UW	ba26eb891a004475f16c23ff96a98d9a	https://www.encodeproject.org/files/ENCFF001ORW/@@download/ENCFF001ORW.fastq.gz	mm9	HiSeq 2000
ENCFF001ORY	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	621434714	John Stamatoyannopoulos, UW	49494127395cc4796feba03c0b240899	https://www.encodeproject.org/files/ENCFF001ORY/@@download/ENCFF001ORY.fastq.gz	mm9	HiSeq 2000
ENCFF001OSF	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	629157318	John Stamatoyannopoulos, UW	8a9dd248fe446157eff70443069a6ab6	https://www.encodeproject.org/files/ENCFF001OSF/@@download/ENCFF001OSF.fastq.gz	mm9	HiSeq 2000
ENCFF001OSI	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	618582957	John Stamatoyannopoulos, UW	4a39413e38ef0e9738d0be86e49187a7	https://www.encodeproject.org/files/ENCFF001OSI/@@download/ENCFF001OSI.fastq.gz	mm9	HiSeq 2000
ENCFF001ORO	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	625155130	John Stamatoyannopoulos, UW	464ac940212ec9df8dfbdcdfef146299	https://www.encodeproject.org/files/ENCFF001ORO/@@download/ENCFF001ORO.fastq.gz	mm9	HiSeq 2000
ENCFF001ORZ	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	615914571	John Stamatoyannopoulos, UW	33608298310ba59919bcb8afaf54131b	https://www.encodeproject.org/files/ENCFF001ORZ/@@download/ENCFF001ORZ.fastq.gz	mm9	HiSeq 2000
ENCFF001OSD	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	626055936	John Stamatoyannopoulos, UW	b2bb9e8bff14ff76d7fdd86956fb31c2	https://www.encodeproject.org/files/ENCFF001OSD/@@download/ENCFF001OSD.fastq.gz	mm9	HiSeq 2000
ENCFF001OSG	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	616161525	John Stamatoyannopoulos, UW	a5f6e1655000cc974e2b1efc821c08b1	https://www.encodeproject.org/files/ENCFF001OSG/@@download/ENCFF001OSG.fastq.gz	mm9	HiSeq 2000
ENCFF001QAE	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	1011481013	John Stamatoyannopoulos, UW	df3233f3c4b387cfb8dc634413f9f82b	https://www.encodeproject.org/files/ENCFF001QAE/@@download/ENCFF001QAE.fastq.gz	mm9	
ENCFF001ORS	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	592132461	John Stamatoyannopoulos, UW	79a633fa964971363215b7b9ea2623b5	https://www.encodeproject.org/files/ENCFF001ORS/@@download/ENCFF001ORS.fastq.gz	mm9	HiSeq 2000
ENCFF001ORU	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	625728661	John Stamatoyannopoulos, UW	1dc0d199feb3f2ac90c3e278f88e4266	https://www.encodeproject.org/files/ENCFF001ORU/@@download/ENCFF001ORU.fastq.gz	mm9	HiSeq 2000
ENCFF001OSC	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	618561231	John Stamatoyannopoulos, UW	df664b2695a7b612df1e46e7ae0f7f07	https://www.encodeproject.org/files/ENCFF001OSC/@@download/ENCFF001OSC.fastq.gz	mm9	HiSeq 2000
ENCFF001ORM	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	625230994	John Stamatoyannopoulos, UW	cc4f91d6172c0d8c1855a0b633c3aa66	https://www.encodeproject.org/files/ENCFF001ORM/@@download/ENCFF001ORM.fastq.gz	mm9	HiSeq 2000
ENCFF001ORN	fastq	reads	ENCSR000COB	DNase-seq	UBERON:0002370	thymus	tissue	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	620780916	John Stamatoyannopoulos, UW	6fb141bcaa64b6cd1feeff112b494fa9	https://www.encodeproject.org/files/ENCFF001ORN/@@download/ENCFF001ORN.fastq.gz	mm9	HiSeq 2000
